ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
7,False,4,45,68,53,4,170
8,True,1,97,50,93,7,247
10,False,2,86,62,91,1,240
24,False,2,83,52,69,5,209
36,True,1,93,64,71,10,238
37,True,2,57,62,61,0,180
53,True,1,75,92,94,6,267
61,True,1,61,56,57,10,184
62,False,2,69,57,91,8,225
63,True,1,62,91,53,2,208
64,True,1,80,47,49,9,185
65,True,1,65,54,65,0,184
66,True,1,98,76,92,4,270
67,False,2,90,99,77,6,272
68,False,2,64,52,47,9,172
69,False,1,61,81,62,5,209
70,True,1,89,100,59,7,255
71,True,1,100,48,53,10,211
73,True,1,73,82,90,8,253
74,False,1,47,45,88,3,183
75,False,1,97,70,80,7,254
76,True,1,57,45,62,3,167
77,False,2,53,92,56,9,210
78,True,1,95,82,100,5,282
79,True,1,95,96,55,4,250
80,True,1,97,69,96,7,269
81,False,2,66,60,93,0,219
82,True,1,48,99,70,4,221
83,False,1,74,64,63,1,202
84,True,1,86,61,75,7,229
85,False,1,49,98,59,5,211
86,False,3,52,79,57,1,189
87,False,1,72,67,94,5,238
88,True,1,79,52,67,7,205
89,False,1,47,90,73,0,210
90,True,1,93,80,86,10,269
91,True,1,67,45,88,5,205
92,True,1,90,65,75,5,235
93,False,2,56,70,85,7,218
94,True,1,74,82,97,2,255
95,True,1,57,74,90,9,230
96,True,1,90,57,79,5,231
97,True,1,82,53,60,9,204
99,True,1,54,56,49,1,160
100,True,1,76,81,100,0,257
101,True,1,89,86,62,7,244
102,True,1,56,49,83,1,189
103,False,3,64,59,94,7,224
104,True,1,85,65,100,1,251
105,True,1,100,79,88,9,276
106,False,1,93,58,100,8,259
107,True,1,97,75,76,10,258
108,True,1,73,52,89,2,216
109,True,1,61,69,82,0,212
110,True,1,59,68,91,4,222
111,False,2,76,65,81,6,228
113,False,1,70,59,90,7,226
114,True,1,66,70,71,2,209
115,True,1,92,84,93,5,274
116,False,2,83,82,45,5,215
117,False,1,88,46,47,10,191
119,True,1,61,59,77,6,203
120,True,1,66,57,94,7,224
121,True,1,50,79,46,7,182
122,False,1,66,62,81,0,209
123,False,2,88,45,60,4,197
125,True,1,60,70,94,3,227
126,False,1,94,94,56,6,250
127,True,1,49,66,78,10,203
128,False,2,87,90,97,10,284
129,True,1,91,93,62,8,254
130,False,1,64,74,72,10,220
131,True,1,79,83,69,2,233
