ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,False,2,60,59,53,1,173
2,True,1,82,72,47,0,201
3,False,1,59,77,83,0,219
4,False,1,90,86,89,8,273
5,False,1,73,82,62,0,217
6,False,2,66,62,54,3,185
7,False,3,50,69,51,5,175
8,False,2,96,47,91,7,241
9,False,1,69,50,80,4,203
10,False,2,81,57,90,1,229
11,False,1,59,94,63,1,217
12,False,2,62,74,85,5,226
13,True,1,67,58,87,4,216
14,False,2,83,85,55,8,231
15,False,2,69,62,85,8,224
16,False,1,65,98,94,0,257
17,False,1,47,96,65,6,214
18,False,1,58,81,90,5,234
19,True,1,76,70,86,7,239
20,False,1,53,60,92,8,213
21,True,1,92,82,72,9,255
22,False,1,59,53,77,7,196
23,False,1,48,100,52,2,202
24,True,1,83,49,69,6,207
25,True,1,74,78,61,8,221
26,False,2,88,79,93,4,264
27,False,2,63,72,55,7,197
28,False,1,91,91,61,8,251
29,False,1,100,85,64,10,259
30,True,1,57,54,68,2,181
31,False,1,94,78,45,9,226
32,False,1,46,52,68,4,170
33,False,1,60,81,50,1,192
34,False,1,53,87,75,8,223
35,False,1,78,100,83,6,267
36,False,2,90,64,70,10,234
37,False,1,52,60,59,1,172
38,True,1,82,80,59,9,230
39,False,1,49,90,85,0,224
40,False,1,47,100,66,1,214
41,False,1,62,87,76,3,228
42,True,1,91,81,81,7,260
43,False,1,75,96,71,3,245
44,False,1,87,72,67,6,232
45,False,1,100,91,48,10,249
46,False,2,48,70,91,5,214
47,False,1,57,57,79,7,200
48,False,1,56,62,74,3,195
49,False,3,96,100,99,8,303
50,True,1,86,79,98,0,263
51,False,3,71,76,75,3,225
52,False,3,69,45,69,4,187
53,False,3,72,89,91,8,260
54,False,2,57,63,58,0,178
55,False,1,79,48,92,5,224
56,False,1,82,75,77,8,242
57,True,1,77,50,99,2,228
58,False,1,49,88,100,3,240
59,True,1,81,60,82,9,232
60,True,1,50,71,87,9,217
