ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,True,2,80,67,47,0,194
7,True,2,45,68,53,4,170
12,False,2,67,79,81,7,234
14,True,1,82,81,50,7,220
26,False,1,92,77,90,4,263
29,False,2,100,90,61,8,259
34,False,1,52,89,73,6,220
36,False,2,93,64,71,10,238
46,True,1,47,68,86,4,205
47,False,2,56,59,77,9,201
49,False,2,99,99,99,6,303
51,True,1,70,81,70,1,222
52,False,1,64,45,68,6,183
67,True,1,90,99,77,6,272
68,False,3,64,52,47,9,172
77,False,1,53,92,56,9,210
81,False,1,66,60,93,0,219
86,True,1,52,79,57,1,189
92,False,2,90,65,75,5,235
93,True,1,56,70,85,7,218
103,False,2,64,59,94,7,224
123,True,1,88,45,60,4,197
124,True,1,57,58,75,8,198
126,False,2,94,94,56,6,250
130,False,2,64,74,72,10,220
136,True,1,81,89,89,8,267
147,False,2,62,57,94,6,219
153,True,1,71,75,61,2,209
154,False,1,46,68,71,0,185
156,True,1,61,51,75,5,192
157,True,1,81,51,85,3,220
158,False,1,51,51,65,4,171
159,True,1,60,45,75,8,188
160,False,1,63,91,65,8,227
161,True,1,63,64,92,9,228
162,False,1,95,59,77,3,234
163,True,1,82,57,64,0,203
164,True,1,57,92,67,10,226
165,True,1,78,85,59,7,229
166,False,1,81,49,72,4,206
167,False,1,88,100,100,7,295
168,True,1,47,96,89,3,235
169,False,1,95,97,51,9,252
170,True,1,75,67,55,7,204
171,True,1,98,73,47,8,226
172,True,1,66,61,90,0,217
473,True,1,92,50,82,1,225
474,False,2,49,82,81,0,212
483,False,2,50,90,60,5,205
485,True,2,70,99,73,8,250
488,False,3,57,97,70,5,229
494,False,2,58,56,62,4,180
498,False,3,86,96,78,3,263
504,True,3,60,87,60,4,211
505,False,1,93,59,81,6,239
506,True,1,60,82,65,5,212
509,False,2,47,50,48,3,148
510,False,2,78,75,45,5,203
514,False,2,68,90,87,6,251
516,True,1,86,65,56,8,215
518,False,3,53,56,91,0,200
523,False,3,85,50,97,10,242
528,False,1,51,98,75,9,233
531,False,1,69,55,91,1,216
532,True,2,83,84,75,0,242
534,True,1,66,58,57,6,187
536,False,2,48,70,81,8,207
748,False,1,51,93,71,0,215
749,True,1,94,73,74,10,251
753,True,2,77,69,71,9,226
758,False,1,90,86,56,8,240
764,False,1,93,79,47,5,224
766,True,2,77,95,95,4,271
767,False,2,69,69,71,10,219
769,False,1,85,90,90,10,275
770,False,1,94,91,57,4,246
775,True,1,54,65,83,0,202
778,False,2,95,77,55,6,233
784,False,2,46,78,97,5,226
787,True,1,94,79,79,0,252
789,False,2,58,79,98,6,241
791,True,1,50,49,48,2,149
794,False,1,69,88,52,8,217
795,False,1,45,86,91,9,231
796,True,1,49,93,92,9,243
797,True,1,47,89,99,1,236
798,False,1,67,77,51,4,199
799,True,1,95,88,64,9,256
800,True,1,50,63,93,7,213
801,True,1,69,70,97,10,246
802,False,1,46,75,55,8,184
803,True,1,59,53,92,6,210
804,False,1,95,96,99,8,298
805,True,1,63,85,54,4,206
806,True,1,88,95,100,10,293
807,False,1,68,45,80,8,201
808,False,1,54,52,47,0,153
809,True,1,81,83,70,8,242
810,False,1,80,50,64,3,197
811,True,1,92,92,91,5,280
812,True,1,58,71,86,8,223
813,True,1,54,55,56,3,168
814,False,1,84,98,61,3,246
815,True,1,52,56,87,9,204
816,True,1,99,48,99,8,254
817,True,1,74,86,80,1,241
818,False,1,63,87,49,4,203
819,True,1,51,57,91,9,208
820,True,1,76,66,67,2,211
821,True,1,87,86,60,1,234
822,True,1,63,84,49,3,199
823,False,1,65,76,73,5,219
824,True,1,84,87,64,9,244
825,True,1,54,81,81,5,221
826,True,1,96,65,72,2,235
827,False,1,45,65,60,3,173
828,True,1,90,92,86,6,274
829,False,1,62,98,68,2,230
830,True,1,88,91,66,7,252
831,True,1,74,73,67,4,218
832,False,1,76,80,51,2,209
833,True,1,86,83,50,4,223
834,False,1,99,97,53,8,257
835,False,1,57,61,91,10,219
836,False,1,49,91,49,0,189
837,True,1,99,77,85,0,261
838,False,1,97,82,82,6,267
839,False,1,94,82,58,0,234
840,True,1,80,61,79,8,228
841,True,1,75,86,94,2,257
842,False,1,68,70,59,9,206
843,True,1,91,99,63,2,255
844,True,1,74,77,77,1,229
845,True,1,70,68,77,0,215
846,True,1,87,60,99,9,255
847,True,1,88,55,93,8,244
848,False,1,53,73,55,2,183
849,True,1,81,81,87,2,251
850,True,1,92,91,75,5,263
851,True,1,47,59,93,7,206
852,True,1,59,49,61,5,174
853,False,1,59,47,87,3,196
854,False,1,78,95,68,6,247
855,False,1,75,74,47,0,196
856,True,1,86,65,51,8,210
857,True,1,85,98,62,4,249
858,True,1,82,79,81,2,244
859,False,1,69,86,69,5,229
860,True,1,82,86,98,1,267
861,True,1,78,61,69,3,211
862,True,1,78,70,67,5,220
863,False,1,76,95,75,9,255
864,False,1,45,77,53,7,182
865,True,1,55,59,49,8,171
866,True,1,86,62,58,2,208
867,True,1,56,55,68,9,188
868,False,1,90,97,52,10,249
869,False,1,59,71,96,5,231
870,True,1,91,52,75,10,228
871,False,1,75,75,58,9,217
872,True,1,55,86,98,6,245
873,False,1,46,60,47,2,155
874,True,1,81,82,55,2,220
875,False,1,85,77,47,9,218
876,True,1,54,48,55,4,161
877,False,1,56,78,70,9,213
878,True,1,81,85,46,10,222
879,True,1,97,63,50,3,213
880,True,1,73,83,75,7,238
881,True,1,55,59,98,6,218
882,True,1,83,54,95,9,241
883,False,1,97,94,56,9,256
884,False,1,87,77,61,2,227
885,True,1,91,88,66,7,252
886,False,1,83,82,49,3,217
887,False,1,69,69,53,1,192
888,True,1,46,57,78,8,189
889,True,1,88,71,97,2,258
890,False,1,83,51,56,7,197
891,True,1,84,83,47,8,222
892,True,1,77,93,52,1,223
893,True,1,75,87,53,9,224
894,True,1,79,97,45,10,231
895,True,1,86,72,78,6,242
896,False,1,68,100,47,8,223
897,False,1,72,59,96,7,234
898,False,1,95,94,69,5,263
899,False,1,82,96,92,9,279
900,True,1,51,72,53,4,180
901,False,1,75,94,59,1,229
902,True,1,63,83,79,6,231
903,True,1,61,57,45,0,163
904,True,1,81,78,52,8,219
905,False,1,45,69,86,3,203
906,False,1,89,96,65,6,256
907,False,1,68,51,54,6,179
908,True,1,86,82,61,4,233
909,True,1,99,79,72,9,259
