ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
7,True,1,45,71,51,0,167
8,False,2,100,52,97,7,256
10,True,1,89,56,90,3,238
36,True,4,90,68,72,10,240
37,True,1,61,67,52,1,181
61,True,1,68,54,51,10,183
62,True,1,66,56,93,9,224
63,True,1,63,92,61,3,219
64,True,1,80,45,45,8,178
65,True,1,58,60,63,1,182
66,True,1,96,76,88,3,263
67,True,1,97,96,85,9,287
68,True,2,68,48,50,10,176
69,True,1,61,83,72,3,219
70,True,1,92,95,63,5,255
71,True,1,96,57,56,9,218
73,True,1,67,87,88,9,251
75,True,1,93,74,78,7,252
76,True,1,50,47,62,0,159
80,True,1,100,74,96,5,275
81,False,1,67,55,97,0,219
82,True,1,47,90,64,3,204
83,True,1,74,63,69,0,206
84,True,1,84,64,66,9,223
85,True,1,54,94,57,2,207
86,True,2,49,77,65,0,191
87,True,1,79,67,95,3,244
89,True,1,45,100,70,2,217
90,False,1,89,73,86,8,256
91,True,1,62,52,93,3,210
92,False,2,90,64,71,2,227
93,True,1,60,67,88,7,222
94,True,1,71,81,99,2,253
95,True,1,58,75,88,10,231
97,False,1,73,55,62,10,200
100,True,1,69,73,95,1,238
101,False,1,85,88,59,4,236
103,True,1,55,55,91,7,208
104,True,1,87,62,91,0,240
105,True,1,93,80,97,7,277
106,True,1,100,55,100,7,262
107,True,1,94,81,72,9,256
108,True,1,75,60,83,1,219
109,False,1,61,70,87,4,222
110,True,1,58,61,96,1,216
113,True,1,78,60,94,7,239
114,True,1,64,79,71,2,216
115,True,1,92,88,90,3,273
116,False,2,81,90,52,6,229
117,True,1,91,45,45,8,189
119,True,1,64,53,82,6,205
120,False,1,68,58,94,5,225
121,True,1,51,81,45,7,184
122,True,1,61,56,81,0,198
123,True,1,86,48,54,4,192
125,True,1,68,75,89,2,234
126,True,1,87,94,58,2,241
127,True,1,53,60,85,10,208
128,False,2,85,89,88,10,272
129,True,1,90,92,61,4,247
130,False,2,58,76,64,8,206
131,True,1,89,76,61,4,230
133,True,1,92,84,83,0,259
134,True,1,100,87,85,2,274
135,True,1,57,92,53,5,207
136,False,2,85,90,91,7,273
137,True,1,83,95,64,6,248
138,True,1,74,87,75,5,241
139,True,1,85,90,61,10,246
140,True,1,59,45,57,10,171
142,False,2,62,73,90,3,228
143,False,1,77,65,73,7,222
144,True,1,78,91,86,5,260
145,True,1,86,56,73,4,219
146,False,1,97,57,56,0,210
147,False,2,63,55,93,6,217
148,True,1,77,94,81,10,262
150,True,1,46,54,48,6,154
151,True,1,48,47,74,4,173
152,False,2,51,96,46,10,203
475,True,1,62,62,61,4,189
478,False,1,47,57,50,8,162
479,False,2,60,73,75,5,213
485,False,2,69,100,70,6,245
488,False,2,57,100,69,5,231
492,True,1,45,75,50,1,171
