ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,False,2,82,72,47,0,201
7,False,4,50,69,51,5,175
12,True,1,62,74,85,5,226
14,False,1,83,85,55,8,231
26,False,3,88,79,93,4,264
29,False,2,100,85,64,10,259
34,False,2,53,87,75,8,223
36,False,4,90,64,70,10,234
46,False,1,48,70,91,5,214
47,False,2,57,57,79,7,200
49,False,2,96,100,99,8,303
51,False,2,71,76,75,3,225
52,False,1,69,45,69,4,187
67,False,1,87,97,80,4,268
68,False,2,61,52,51,8,172
77,False,1,58,88,60,10,216
79,False,3,96,96,56,6,254
81,True,1,62,55,95,1,213
86,False,2,56,82,61,0,199
92,True,1,91,64,77,4,236
93,False,1,57,71,87,6,221
97,False,1,87,50,63,8,208
103,False,2,59,56,96,8,219
123,False,2,93,46,60,3,202
124,True,1,60,53,75,10,198
126,False,1,94,97,55,4,250
128,False,2,82,89,98,10,279
130,False,2,67,79,72,10,228
136,False,1,81,84,87,6,258
147,False,1,57,58,92,7,214
153,False,1,75,73,66,2,216
154,False,1,49,70,76,1,196
155,True,1,88,48,54,2,192
156,False,1,60,52,80,6,198
157,False,1,84,48,84,1,217
158,False,1,50,55,60,2,167
159,True,1,55,45,71,7,178
160,False,1,63,90,63,7,223
161,False,1,59,61,95,10,225
162,False,1,96,57,72,1,226
163,False,1,86,54,62,2,204
164,False,1,55,95,64,9,223
165,True,1,74,89,64,6,233
166,False,1,83,47,72,5,207
167,False,1,88,98,100,9,295
168,False,1,46,93,88,4,231
169,True,1,93,93,56,7,249
170,True,1,73,62,56,9,200
171,False,1,97,76,50,7,230
172,False,1,66,65,87,1,219
