ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
6,False,2,68,59,59,5,191
7,False,3,45,71,51,0,167
12,True,1,75,77,87,9,248
15,True,1,79,66,89,8,242
26,True,2,92,80,87,0,259
36,False,3,90,68,72,10,240
49,True,1,99,96,92,5,292
51,True,1,66,80,68,0,214
52,True,1,69,54,67,8,198
53,True,1,68,96,97,8,269
54,True,1,53,70,62,0,185
62,True,2,66,56,93,9,224
68,True,1,68,48,50,10,176
77,True,1,49,92,53,9,203
79,True,1,96,98,61,6,261
86,False,3,49,77,65,0,191
94,True,2,71,81,99,2,253
103,True,3,55,55,91,7,208
111,True,1,80,58,86,3,227
116,True,1,81,90,52,6,229
128,True,1,85,89,88,10,272
132,True,1,70,77,75,5,227
133,False,2,92,84,83,0,259
136,True,1,85,90,91,7,273
142,True,1,62,73,90,3,228
152,True,1,51,96,46,10,203
156,True,2,63,45,78,5,191
173,True,1,78,57,60,0,195
174,True,1,62,74,75,10,221
175,True,1,60,65,87,10,222
176,True,1,74,91,99,1,265
177,True,1,57,62,95,1,215
178,True,1,65,94,84,2,245
179,True,1,90,64,83,3,240
181,True,1,68,54,83,4,209
182,True,1,100,100,74,6,280
183,True,1,71,92,66,4,233
184,False,1,62,96,48,7,213
186,True,1,91,72,94,10,267
188,True,1,78,69,93,0,240
189,True,1,83,48,97,0,228
190,True,1,79,55,51,10,195
191,True,1,93,69,60,0,222
192,True,1,55,100,96,4,255
195,False,1,61,85,77,7,230
196,True,1,83,93,67,8,251
197,True,1,88,60,79,8,235
198,True,1,74,81,59,10,224
199,True,1,66,57,68,8,199
200,True,1,70,85,73,10,238
201,True,1,83,65,46,8,202
202,True,1,52,91,96,9,248
203,True,1,75,45,89,1,210
204,True,1,77,60,59,1,197
205,True,1,56,99,80,6,241
207,True,1,60,94,84,5,243
208,True,1,69,92,89,6,256
209,True,1,68,81,48,4,201
210,True,1,52,62,76,0,190
211,False,1,80,54,68,10,212
212,True,1,92,90,69,7,258
213,False,1,96,47,76,6,225
472,False,2,52,93,72,7,224
473,False,2,95,58,84,5,242
492,False,2,45,75,50,1,171
493,True,1,85,51,67,9,212
495,False,2,81,83,83,3,250
500,True,1,63,81,80,6,230
508,False,1,100,94,74,7,275
509,True,1,45,46,47,3,141
510,False,2,78,70,49,5,202
514,False,2,74,90,83,4,251
515,False,2,70,65,56,2,193
522,False,2,68,91,57,2,218
529,True,1,60,76,45,0,181
531,True,1,72,52,85,0,209
745,True,1,83,45,45,2,175
747,False,2,48,93,75,2,218
753,False,2,83,69,70,10,232
759,False,1,90,53,100,4,247
760,True,1,86,83,95,10,274
762,True,2,49,91,46,1,187
763,False,2,91,60,47,1,199
768,True,1,46,96,66,4,212
772,True,1,63,45,73,3,184
776,True,1,86,100,82,10,278
779,False,2,51,63,51,5,170
780,True,1,65,57,58,10,190
787,True,1,93,78,81,0,252
788,False,2,90,87,87,4,268
789,False,3,58,78,94,9,239
1008,True,2,80,82,45,1,208
1012,True,2,87,95,72,8,262
1018,True,1,53,82,58,0,193
1028,False,2,79,45,92,7,223
1029,False,2,98,63,90,4,255
1031,False,2,61,52,91,9,213
1035,False,2,99,51,54,3,207
1036,True,1,84,73,61,8,226
1041,True,1,74,70,64,5,213
1043,True,1,64,94,68,1,227
1045,True,1,58,99,90,6,253
1046,False,2,96,49,56,4,205
1058,True,1,85,65,65,0,215
1061,True,1,69,94,92,7,262
1062,True,1,83,58,76,4,221
1063,True,1,95,58,78,5,236
1064,False,1,68,49,94,9,220
1066,True,1,45,77,100,6,228
1068,True,1,90,54,87,5,236
1069,True,1,91,64,64,6,225
1070,False,1,79,69,92,10,250
1071,True,1,54,82,65,8,209
1072,True,1,66,85,59,0,210
1073,True,1,55,85,84,1,225
1074,True,1,45,95,57,5,202
1075,True,1,100,51,62,0,213
1076,True,1,82,57,53,0,192
1077,True,1,83,87,100,9,279
1078,True,1,83,77,84,6,250
1079,True,1,87,84,65,0,236
1080,True,1,64,58,75,3,200
1081,True,1,48,53,81,5,187
1082,True,1,100,53,75,8,236
1083,True,1,47,63,83,6,199
1084,True,1,98,67,90,1,256
1086,True,1,49,83,46,3,181
1087,True,1,51,64,70,0,185
1088,True,1,53,100,53,6,212
1090,False,1,83,64,79,10,236
1091,True,1,61,80,100,9,250
1092,True,1,64,88,50,10,212
1093,True,1,80,73,88,8,249
1094,True,1,88,90,81,0,259
1095,True,1,56,88,58,9,211
1096,True,1,63,84,72,10,229
1097,True,1,61,82,82,7,232
